Bar,Beat,Duration,Note
1,,4,0
1,,1,1
0,4.666,-1,24
1,1,-1,28
1,1.666,-1,24
1,2,-1,29
1,2.333,-1,24
1,2.666,1.333,31
1,3.666,0.333,12
1,4.666,-1,24
2,1,-1,27
2,1.666,-1,24
2,2,-1,29
2,2.333,-1,24
2,2.666,1.333,31
2,3.666,0.333,17
2,4.666,-1,24
3,1,-1,28
3,1.666,-1,24
3,2,-1,29
3,2.333,-1,24
3,2.666,0,31
3,3.666,0,28
3,4.333,-1,24
3,4.666,-1,19
4,1,-1,22
4,1.666,1.333,24
4,2.666,0.333,34
4,4.666,-1,29
5,1,-1,33
5,1.666,-1,29
5,2,-1,34
5,2.333,-1,29
5,2.666,1.333,36
5,3.666,0.333,17
5,4.666,-1,29
6,1,-1,34
6,1.666,-1,29
6,2,-1,34
6,2.333,-1,29
6,2.666,1.333,36
6,3.666,0.333,22
6,4.666,-1,24
7,1,-1,28
7,1.666,-1,24
7,2,-1,29
7,2.333,-1,24
7,2.666,0,31
7,3.666,0,28
7,4,-1,24
7,4.666,-1,19
8,1,-1,22
8,1.666,0,24
8,2.666,-1,34
8,4,-1,31
8,4.666,-1,27
9,1,-1,26
9,1.666,0,24
9,2.333,-1,32
9,2.666,-1,28
9,3,-1,27
9,3.666,0,25
9,4.333,-1,30
9,4.666,-1,26
10,1,-1,25
10,1.666,0,23
10,2.333,-1,28
10,2.666,-1,24
10,3,-1,23
10,3.666,-1,21
10,4,-1,27
10,4.666,2.333,24
11,1.666,1.333,19
11,2,1,21
11,2.666,0.333,19
11,3.666,-1,19
11,4,-1,23
11,4.666,2.333,19
12,1.666,-1,14
12,2,1,16
12,2.666,0.333,14
12,3.666,-1,12
12,4,-1,16
12,4.666,4.333,12
13,1.666,3.333,22
